paper_id,figure_label,panel_label,repo_url,commit_or_tag,script_path,run_command,language,dependencies_file,container_or_env,os,input_data_source,input_data_path,output_image_path,output_format,result,failure_reason,notes,log_path,screenshot_path,timestamp,run_command_styled,style_wrapper
10.1038/s41586-024-07368-2,,,https://github.com/AlexandrovLab/TMB_plotter,,TMB_plotter.py,python3 TMB_plotter.py,python,,,,,,,,success,,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07368-2 | readme_cmd | invalid_cmd | inferred_python | python->python3,logs/repro_runs/run_00000_20260318_114556.log,,20260318_114556,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py TMB_plotter.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/core/config.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00001_20260317_231532.log,,20260317_231532,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/core/config.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_3d/plotting3D.py,python3 deeplabcut/pose_estimation_3d/plotting3D.py,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,failed,nonzero_exit,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | python->python3 | missing_python_module:tensorflow | retry_after_dep_install | missing_python_module:tensorpack | missing_python_module:tensorpack | retry_after_dep_install | missing_python_module:tf_slim | retry_after_dep_install | missing_python_module:tf_slim | missing_python_module:tf_slim | missing_python_module:tf_slim | retry_after_dep_install,logs/repro_runs/run_00002_20260318_143010.log,,20260318_143010,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_3d/plotting3D.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_pytorch/apis/prune_paf_graph.py,python3 deeplabcut/pose_estimation_pytorch/apis/prune_paf_graph.py,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,failed,nonzero_exit,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | python->python3 | missing_python_module:tensorflow | retry_after_dep_install | missing_python_module:tensorpack | missing_python_module:tensorpack | retry_after_dep_install | missing_python_module:tf_slim | retry_after_dep_install | missing_python_module:tf_slim | missing_python_module:tf_slim | missing_python_module:tf_slim | retry_after_dep_install,logs/repro_runs/run_00003_20260318_143010.log,,20260318_143010,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_pytorch/apis/prune_paf_graph.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_pytorch/config/__init__.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00004_20260317_231532.log,,20260317_231532,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_pytorch/config/__init__.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_pytorch/config/make_pose_config.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00005_20260317_231534.log,,20260317_231534,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_pytorch/config/make_pose_config.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_pytorch/config/utils.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00006_20260317_231534.log,,20260317_231534,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_pytorch/config/utils.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_pytorch/modelzoo/config.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00007_20260317_231534.log,,20260317_231534,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_pytorch/modelzoo/config.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_tensorflow/config.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00008_20260317_231534.log,,20260317_231534,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_tensorflow/config.py,python
10.1038/s41586-024-07619-2,,,https://github.com/AlexEMG/DeepLabCut,,deeplabcut/pose_estimation_tensorflow/default_config.py,,python,data/github_repos/AlexEMG__DeepLabCut/pyproject.toml,,,,,,,needs_manual,nonzero_exit_127,match_score=0; match_reason=; paper_ids=10.1038/s41586-024-07619-2 | deps_found | inferred_python | invalid_cmd,logs/repro_runs/run_00009_20260317_231535.log,,20260317_231535,PFC_STYLE_THEME=classic python /nas/jhp/publication-figures/scripts/run_with_style.py deeplabcut/pose_estimation_tensorflow/default_config.py,python
